Module_id,Module_name,KO_count,KO_set
M00174,"Methane oxidation, methanotroph, methane => formaldehyde",11,"K10944,K10945,K10946,K14028,K14029,K16157,K16158,K16159,K16160,K16161,K16162"
M00175,"Nitrogen fixation, nitrogen => ammonia",8,"K00531,K02586,K02588,K02591,K22896,K22897,K22898,K22899"
M00176,"Assimilatory sulfate reduction, sulfate => H2S",10,"K00380,K00381,K00390,K00392,K00860,K00955,K00956,K00957,K00958,K13811"
M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA",11,"K00161,K00162,K00163,K00169,K00170,K00171,K00172,K00382,K00627,K03737,K13997"
M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",7,"K00131,K00134,K00874,K00927,K01625,K05308,K18978"
M00309,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate",8,"K03738,K05308,K11395,K18020,K18021,K18022,K18127,K18128"
M00338,"Cysteine biosynthesis, homocysteine + serine => cysteine",3,"K01697,K01758,K10150"
M00344,"Formaldehyde assimilation, xylulose monophosphate pathway",4,"K00863,K01624,K03841,K17100"
M00345,"Formaldehyde assimilation, ribulose monophosphate pathway",7,"K00850,K01624,K08093,K08094,K13812,K13831,K16370"
M00346,"Formaldehyde assimilation, serine pathway",10,"K00018,K00024,K00600,K00830,K01595,K01689,K08691,K08692,K11529,K14067"
M00356,"Methanogenesis, methanol => methane",19,"K00125,K00399,K00401,K00402,K03388,K03389,K03390,K04480,K08264,K08265,K14080,K14081,K14126,K14127,K14128,K22480,K22481,K22482,K22516"
M00357,"Methanogenesis, acetate => methane",31,"K00125,K00193,K00194,K00197,K00399,K00401,K00402,K00577,K00578,K00579,K00580,K00581,K00582,K00583,K00584,K00625,K00925,K01895,K03388,K03389,K03390,K08264,K08265,K13788,K14126,K14127,K14128,K22480,K22481,K22482,K22516"
M00358,Coenzyme M biosynthesis,5,"K05884,K05979,K06034,K08097,K13039"
M00363,"EHEC pathogenicity signature, Shiga toxin",2,"K11006,K11007"
