	Domain	Phylum	Class	Order	Family	Genus	Species
OTU25518	Bacteria	Bacteroidota	 Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceibacter	 Croceibacter atlanticus
OTU25519	Bacteria	Bacillota	 Bacilli	Caryophanales	Bacillaceae	Lysinibacillus	 Lysinibacillus sp. PLM2
OTU25520	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces abikoensis
OTU25521	Bacteria	Spirochaetota	 Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	 Leptospira sp. P2653
OTU25522	Bacteria	Pseudomonadota	 Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Pseudoxanthomonas	 Pseudoxanthomonas sp.
OTU25523	Bacteria	Pseudomonadota	 Alphaproteobacteria	Rickettsiales	Unclassified	Unclassified	 Rickettsiales bacterium TMED131
OTU25524	Bacteria	Pseudomonadota	 Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Rhodovulum	 Rhodovulum strictum
OTU25525	Bacteria	Pseudomonadota	 Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pseudorhizobium	 Pseudorhizobium pelagicum
OTU25526	Eukaryota	Ascomycota	 Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	 Fonsecaea pedrosoi
OTU25527	Bacteria	Pseudomonadota	 Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	 Pseudomonas lopnurensis
OTU25528	Bacteria	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 Parcubacteria group bacterium GW2011_GWB1_41_5
OTU25529	Bacteria	Candidatus Roizmanbacteria	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Roizmanbacteria bacterium CG_4_8_14_3_um_filter_36_12
OTU25530	Bacteria	Bacillota	 Bacilli	Caryophanales	Bacillaceae	Lysinibacillus	 Lysinibacillus halotolerans
OTU25531	Bacteria	Pseudomonadota	 Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	 Massilia armeniaca
OTU25532	Bacteria	Bacteroidota	 Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	 Salegentibacter sp. BDJ18
OTU25533	Bacteria	Pseudomonadota	 Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	 Burkholderia sp. WSM2232
OTU25534	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Microbacteriaceae	Agromyces	 Agromyces sp. Leaf222
OTU25535	Bacteria	Mycoplasmatota	 Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	 Candidatus Mycoplasma haemohominis
OTU25536	Bacteria	Candidatus Peregrinibacteria	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Peregrinibacteria bacterium Greene0416_62
OTU25537	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Corynebacteriaceae	Corynebacterium	 Corynebacterium alimapuense
OTU25538	Bacteria	Pseudomonadota	 Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hyphomonas	 Hyphomonas sp. TMED31
OTU25539	Eukaryota	Chlorophyta	 Chlorophyceae	Sphaeropleales	Sphaeropleaceae	Parallela	 Parallela transversalis
OTU25540	Bacteria	Bacillota	 Bacilli	Caryophanales	Bacillaceae	Alkalihalobacterium	 Alkalihalobacterium elongatum
OTU25541	Bacteria	Pseudomonadota	 Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	 Vibrio gallaecicus
OTU25542	Bacteria	Bacteroidota	 NA	Unclassified	Unclassified	Unclassified	 Bacteroidetes bacterium QH_9_67_14
OTU25543	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycolicibacter	 Mycolicibacter icosiumassiliensis
OTU25544	Archaea	Thermoproteota	 Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	 NA
OTU25545	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	 Kocuria sp. CCUG 69068
OTU25546	Bacteria	Bacillota	 Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	 Butyrivibrio sp. AC2005
OTU25547	Bacteria	Pseudomonadota	 Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Salinimonas	 Salinimonas marina
OTU25548	Bacteria	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 candidate division WOR-1 bacterium RIFOXYC2_FULL_37_10
OTU25549	Eukaryota	Ascomycota	 Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	 Schizosaccharomyces pombe
OTU25550	Bacteria	Pseudomonadota	 Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	 Erythrobacter sp. HKB08
OTU25551	Bacteria	Bacteroidota	 Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	 Pedobacter sp. Leaf216
OTU25552	Bacteria	Pseudomonadota	 Zetaproteobacteria	Unclassified	Unclassified	Unclassified	 Zetaproteobacteria bacterium CG_4_9_14_3_um_filter_53_7
OTU25553	Bacteria	Pseudomonadota	 Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	 Pseudoalteromonas sp. BSi20652
OTU25554	Bacteria	Pseudomonadota	 Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	 Enterobacter huaxiensis
OTU25555	Eukaryota	Rozellomycota	 NA	Unclassified	Unclassified	Rozella	 Rozella allomycis
OTU25556	Bacteria	Bacteroidota	 Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 Prevotella sp. 885
OTU25557	Bacteria	Pseudomonadota	 Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Thalassolituus	 Thalassolituus sp. HI0120
OTU25558	Bacteria	Bacillota	 Bacilli	Caryophanales	Paenibacillaceae	Unclassified	 Paenibacillaceae bacterium GAS479
