,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
K10945: pmoB-amoB | Nitrification; Methane oxidation; Methanotrophs,5,2,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0
K10946: pmoC-amoC | Nitrification; Methane oxidation; Methanotrophs,4,3,0,1,0,0,0,0,3,0,0,1,1,0,3,1,0,0,0,0
K11261: fmdE | Methanogenesis (CO2),14,13,14,13,9,3,10,4,14,9,14,31,13,11,15,16,1,17,8,9
"K11780: cofG | Methanogenesis: F420 biosynthesis, archaea",6,2,5,7,2,5,6,3,5,4,4,7,5,6,3,3,1,7,1,3
"K11781: cofH | Methanogenesis: F420 biosynthesis, archaea",8,4,1,7,5,3,7,1,1,5,4,2,5,2,3,3,2,3,4,4
"K12234: cofE | Methanogenesis: F420 biosynthesis, archaea",50,67,86,77,47,23,59,17,16,34,60,74,37,76,16,24,7,80,73,44
K12264: norV | Nitrogen: Denitrification (reduction pathway),8,18,24,26,24,11,29,7,16,12,17,38,36,37,13,22,7,16,25,16
K12339: cysM | Sulfur metabolism,47,37,7,20,26,4,24,12,15,9,13,27,22,19,27,19,2,19,15,11
"K13039: comE | Methanogenesis: Coenzyme M (mercaptoethane sulfonate, CoM) biosynthesis",9,3,4,3,3,2,2,1,0,0,1,1,0,3,3,0,0,0,3,1
K13788: pta | Carbon Fixation: Acetate production,4,5,0,10,6,7,7,6,16,9,3,15,16,6,17,13,0,5,5,5
K13992: psaB | Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
K14126: mvhA | Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),56,111,108,154,126,59,155,60,62,76,118,160,126,125,72,101,27,115,125,100
K14127: mvhD | Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),39,95,106,140,113,62,116,56,42,61,101,151,122,120,79,86,23,88,95,91
K14128: mvhG | Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),50,76,87,99,86,42,103,43,42,58,91,111,79,98,35,74,24,72,93,70
K14138: acsB | Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),16,40,31,55,49,29,64,27,35,24,29,47,75,40,56,61,5,26,32,31
K14469 | Carbon Fixation: 3-Hydroxypropionate bi-cycle; Hydroxypropionate-hydroxybutylate cycle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
K14470: mct | Carbon Fixation: 3-Hydroxypropionate bi-cycle,4,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,1
K14534: abfD | Carbon Fixation: Dicarboxylate-hydroxybutyrate cycle; Hydroxypropionate-hydroxybutylate cycle,45,81,83,139,107,39,86,39,51,67,74,136,86,105,67,92,19,94,102,57
"K14941: cofC | Methanogenesis: F420 biosynthesis, archaea",17,13,10,5,6,5,8,1,1,2,7,9,7,13,4,7,1,14,8,7
K15019 | Carbon Fixation: Hydroxypropionate-hydroxybutylate cycle,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
K15020 | Carbon Fixation: 3-Hydroxypropionate bi-cycle,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
K15022: fdhB | Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),73,72,21,71,53,24,56,32,42,27,26,49,55,33,73,70,8,33,48,35
K15024: pduL | Carbon Fixation: Acetate production,4,2,1,0,2,3,3,2,3,0,0,1,5,0,0,2,0,0,0,0
K15038 | Carbon Fixation: Dicarboxylate-hydroxybutyrate cycle; Hydroxypropionate-hydroxybutylate cycle,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
